25 20
#############
#...........#    ########
#...s...s...######......#
#S...s...........D......#
#......s....######...s..#
#.....s.....#    #......#
#.H......K..#    #......#
#...........#    #......#
#####..######    ###DD###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #..@....#      #......#
  #.......#      #...P..#
  #.......#      #......#
  #...S...#      #.P....#
  #.......#      #......#
  #.......#      #......U
  #########       ######
